=== OUVERTURE V11.1 - TEMPS CUMULE ===

Mon Aug 10 14:15:18 2026    C:\Users\PC\projet\cache\profil_ouverture_v11.prof

         2062595 function calls (2012643 primitive calls) in 118.180 seconds

   Ordered by: cumulative time
   List reduced from 1950 to 100 due to restriction <100>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      711    0.012    0.000    1.744    0.002 ctk_frame.py:94(_draw)
    12100    0.118    0.000    1.650    0.000 ctk_canvas.py:83(coords)
      208    0.007    0.000    1.632    0.008 ctk_button.py:184(_draw)
        4    0.000    0.000    1.582    0.396 ctk_scrollable_frame.py:22(__init__)
        6    0.000    0.000    1.576    0.263 ctk_scrollbar.py:17(__init__)
        8    0.016    0.002    1.466    0.183 document_view.py:2381(make_background)
 1057/949    0.008    0.000    1.459    0.002 ctk_base_class.py:182(_update_dimensions_event)
       96    0.004    0.000    1.415    0.015 ctk_button.py:21(__init__)
        2    0.001    0.001    1.339    0.669 mockup_view.py:2343(_create_book_overview_panel)
        2    0.000    0.000    1.227    0.613 ctk_tk.py:265(_windows_set_titlebar_color)
    706/5    0.003    0.000    1.175    0.235 ctk_base_class.py:94(destroy)
      270    0.007    0.000    1.017    0.004 ctk_frame.py:17(__init__)
        2    0.001    0.001    0.870    0.435 mockup_view.py:5553(_create_sequence_panel)
      314    0.019    0.000    0.859    0.003 ctk_label.py:25(__init__)
       12    0.001    0.000    0.695    0.058 mockup_view.py:6204(_refresh_plan_background)
      374    0.005    0.000    0.603    0.002 ctk_base_class.py:113(configure)
        6    0.000    0.000    0.561    0.093 mockup_view.py:1554(on_click)
        6    0.000    0.000    0.561    0.093 document_view.py:5065(_close_mockup)
        6    0.000    0.000    0.560    0.093 mockup_view.py:534(hide)
     2634    0.014    0.000    0.544    0.000 ctk_canvas.py:73(create_aa_circle)
      318    0.002    0.000    0.508    0.002 ctk_label.py:164(destroy)
    80/60    0.002    0.000    0.507    0.008 ctk_frame.py:134(configure)
      820    0.014    0.000    0.498    0.001 ctk_label.py:176(_draw)
     1922    0.038    0.000    0.465    0.000 ctk_canvas.py:103(itemconfig)
        2    0.000    0.000    0.445    0.222 document_view.py:558(show)
        4    0.000    0.000    0.440    0.110 mockup_view.py:443(redraw_background)
        2    0.002    0.001    0.435    0.217 document_view.py:1885(_create_main_workspace)
        1    0.000    0.000    0.430    0.430 ctk_tk.py:88(destroy)
        1    0.000    0.000    0.385    0.385 ctk_tk.py:1(<module>)
        1    0.000    0.000    0.381    0.381 ctk_tk.py:33(__init__)
        4    0.001    0.000    0.380    0.095 document_view.py:1134(redraw)
        2    0.002    0.001    0.348    0.174 document_view.py:948(build_background)
        4    0.001    0.000    0.324    0.081 mockup_view.py:1742(redraw)
        2    0.000    0.000    0.318    0.159 mockup_view.py:2872(_create_ribbon)
