=== TOP 120 - TEMPS CUMULÉ ===

Mon Aug 10 13:58:40 2026    C:\Users\PC\projet\cache\pagemaitre_affichage.prof

         1137972 function calls (1109293 primitive calls) in 16.584 seconds

   Ordered by: cumulative time
   List reduced from 1948 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.167    0.167 page_editor_view.py:1(<module>)
        2    0.000    0.000    0.166    0.083 document_view.py:1134(redraw)
      232    0.005    0.000    0.164    0.001 <frozen importlib._bootstrap_external>:1090(get_code)
        8    0.000    0.000    0.162    0.020 dashboard_view.py:1448(leave)
        9    0.000    0.000    0.162    0.018 dashboard_view.py:1445(enter)
        1    0.001    0.001    0.159    0.159 mockup_view.py:1370(build_background)
        1    0.001    0.001    0.150    0.150 document_view.py:948(build_background)
      111    0.003    0.000    0.143    0.001 ctk_label.py:211(configure)
      402    0.013    0.000    0.143    0.000 ctk_base_class.py:32(__init__)
        2    0.000    0.000    0.142    0.071 workspace.py:65(clear)
        1    0.001    0.001    0.141    0.141 mockup_view.py:5870(_refresh_sequence)
       63    0.006    0.000    0.134    0.002 ImageTk.py:93(__init__)




=== TOP 120 - TEMPS PROPRE ===

Mon Aug 10 13:58:40 2026    C:\Users\PC\projet\cache\pagemaitre_affichage.prof

         1137972 function calls (1109293 primitive calls) in 16.584 seconds

   Ordered by: internal time
   List reduced from 1948 to 120 due to restriction <120>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.915    5.915   11.713   11.713 {method 'mainloop' of '_tkinter.tkapp' objects}
53618/34761    5.481    0.000    7.031    0.000 {method 'call' of '_tkinter.tkapp' objects}
       87    1.396    0.016    1.396    0.016 {method 'resize' of 'ImagingCore' objects}
      377    0.665    0.002    0.665    0.002 {method 'decode' of 'ImagingDecoder' objects}
        1    0.401    0.401    0.401    0.401 {built-in method _tkinter.create}
    15798    0.131    0.000    0.276    0.000 __init__.py:1638(_options)
        2    0.099    0.050    0.099    0.050 {built-in method _wmi.exec_query}
      150    0.095    0.001    0.095    0.001 {method 'convert' of 'ImagingCore' objects}
    33485    0.083    0.000    0.083    0.000 {method 'getint' of '_tkinter.tkapp' objects}
   268909    0.074    0.000    0.075    0.000 {built-in method builtins.isinstance}
     7015    0.074    0.000    1.056    0.000 ctk_canvas.py:83(coords)
